,f1,accuracy
Decision Tree,0.8520631815752946,0.8377049180327869
Random Forest,0.8918434298166481,0.8780114041339987
xGboost,0.8960711013630307,0.8834699453551913
CatBoost,0.8785871733466342,0.862752435257781
KNN,0.8632234655964872,0.8398610121168926
GaussianNB,0.8811602744316082,0.8671002613447374
LogisticRegression,0.8769655062940093,0.8605785222143026
