,f1,accuracy
Decision Tree,0.41698218061101244,0.8596903769324301
Random Forest,0.529040622388052,0.9255493312489144
xGboost,0.3848062015503876,0.9117183428869202
CatBoost,0.5223801833029893,0.9176328817092235
KNN,0.4129080434191331,0.8906483411499047
GaussianNB,0.012121212121212121,0.8939399861038735
LogisticRegression,0.5019987862738607,0.9031548549591802
