,f1,accuracy
Decision Tree,0.8284390882982432,0.7984699453551912
Random Forest,0.8645942945942947,0.8446994535519126
xGboost,0.8617137562789736,0.8415846994535519
CatBoost,0.8625925600632127,0.844863387978142
KNN,0.8199231199569856,0.8052459016393442
GaussianNB,0.8319048442447547,0.8086885245901639
LogisticRegression,0.86231363407834,0.8449726775956284
